date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:35	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%22ed50d686d52e72628c6a3bead3317fef%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c6a38111aec507149cb3d-min.en-US.js	/home/aramaanmeher/websites/Aca/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c6a38111aec507149cb3d-min.en-US.js	(from https://www.orestisgeorgiou.com/)
19:42:50	589307/589307	---M-Z	200	added ('OK')	text/javascript	etag:%2277a546c78e5335ac223ce347591cf662%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	/home/aramaanmeher/websites/Aca/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	(from https://www.orestisgeorgiou.com/)
19:42:50	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%22c7db15035020752c23874ffad6594fb7%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fd2acc815706e38fcfdf0-min.en-US.js	/home/aramaanmeher/websites/Aca/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fd2acc815706e38fcfdf0-min.en-US.js	(from https://www.orestisgeorgiou.com/)
19:43:09	249418/249418	---M-Z	200	added ('OK')	text/javascript	etag:%221db5b40b9a94398cac490ca0a1a5f33a%22	http://assets.squarespace.com/universal/scripts-compressed/performance-583aaa5ee6ef2ffadfe40-min.en-US.js	/home/aramaanmeher/websites/Aca/assets.squarespace.com/universal/scripts-compressed/performance-583aaa5ee6ef2ffadfe40-min.en-US.js	(from https://www.orestisgeorgiou.com/)
19:43:17	750895/750895	---M-Z	200	added ('OK')	text/javascript	etag:%22cb2b0af07587ca7dac33842e152bab2b%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-bd388a58725d27de3369b-min.en-US.js	/home/aramaanmeher/websites/Aca/assets.squarespace.com/universal/scripts-compressed/common-vendors-bd388a58725d27de3369b-min.en-US.js	(from https://www.orestisgeorgiou.com/)
19:43:27	805/805	---M--	200	added ('OK')	application/rss+xml	etag:W/%229c23ca2ed2703bc135d8f3cb1eb8a90c%22	https://www.orestisgeorgiou.com/home?format=rss	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/homea409	(from https://www.orestisgeorgiou.com/)
19:43:41	42276/42276	---M--	200	added ('OK')	image/png	etag:CN2u4frHwusCEAE=	http://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1550839443584-XL6BMJZ93MCMRQX2BPGP/Orestis-Georgiou-logo-web-white.png?format=1500w	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1550839443584-XL6BMJZ93MCMRQX2BPGP/Orestis-Georgiou-logo-web-white26f7.png	(from https://www.orestisgeorgiou.com/)
19:43:43	1721420/1721420	---M-Z	200	added ('OK')	text/javascript	etag:%2225ebf9dfa29fbb6d93ba97b7f163b2c0%22	http://assets.squarespace.com/universal/scripts-compressed/common-c4455c908623737611a0c-min.en-US.js	/home/aramaanmeher/websites/Aca/assets.squarespace.com/universal/scripts-compressed/common-c4455c908623737611a0c-min.en-US.js	(from https://www.orestisgeorgiou.com/)
19:43:43	8459/8459	---M--	200	added ('OK')	image/svg+xml	etag:W/%22ec3ca1af11a6d568cdb56913d1ced714%22	https://www.orestisgeorgiou.com/assets/ui-icons.svg	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/assets/ui-icons.svg	(from https://www.orestisgeorgiou.com/)
19:43:43	913938/913938	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2014:13:25%20GMT	https://static1.squarespace.com/static/sitecss/5c6fd1c7c2ff616d47ed3809/102/55f0aac0e4b0f0a5b7e0b22e/5c6fd1c7c2ff616d47ed381f/349/site.css	/home/aramaanmeher/websites/Aca/static1.squarespace.com/static/sitecss/5c6fd1c7c2ff616d47ed3809/102/55f0aac0e4b0f0a5b7e0b22e/5c6fd1c7c2ff616d47ed381f/349/site.css	(from https://www.orestisgeorgiou.com/)
19:43:43	42047/42047	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2014:13:43%20GMT	https://www.orestisgeorgiou.com/search	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/search.html	(from https://www.orestisgeorgiou.com/)
19:43:52	70266/70266	---M-Z	200	added ('OK')	text/html	etag:W/%2239d2c74172c2991bb43b2719219d4c76--gzip%22	https://www.orestisgeorgiou.com/publications	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/publications.html	(from https://www.orestisgeorgiou.com/)
19:43:54	88197/88197	---M-Z	200	added ('OK')	text/html	etag:W/%22d4fa92d3041241348ce8946e0448bcd8--gzip%22	https://www.orestisgeorgiou.com/speaking	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/speaking.html	(from https://www.orestisgeorgiou.com/)
19:43:56	85594/85594	---M-Z	200	added ('OK')	text/html	etag:W/%224cf7e194ccc6fc2c9e1af56249100a81%22	https://www.orestisgeorgiou.com/roles	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/roles.html	(from https://www.orestisgeorgiou.com/)
19:44:00	53038/53038	---M-Z	200	added ('OK')	text/html	etag:W/%22620960f4f86520fdcf264c0a6037940c%22	https://www.orestisgeorgiou.com/contact	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/contact.html	(from https://www.orestisgeorgiou.com/)
19:44:01	518539/518539	---M--	200	added ('OK')	image/jpeg	etag:CJ3j7IHcjfsCEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/4ad07f90-4f6d-483b-9fd7-e1372a57bd22/b-58.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/4ad07f90-4f6d-483b-9fd7-e1372a57bd22/b-58.jpg	(from https://www.orestisgeorgiou.com/)
19:44:02	91359/91359	---M-Z	200	added ('OK')	text/html	etag:W/%221576ceb79c7345f43d7ff2f9ac81eb9c%22	https://www.orestisgeorgiou.com/blog	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/blog.html	(from https://www.orestisgeorgiou.com/)
19:44:02	330082/330082	---M--	200	added ('OK')	image/jpeg	etag:CNqL+PDcjfsCEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/da771a09-b762-4b84-928e-68e171bf1009/b-194.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/da771a09-b762-4b84-928e-68e171bf1009/b-194.jpg	(from https://www.orestisgeorgiou.com/)
19:44:03	152684/152684	---M--	200	added ('OK')	image/jpeg	etag:CMeJlo/IwusCEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1553685040209-HIW4FB54NJAR6OHRI01H/Speaking.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1553685040209-HIW4FB54NJAR6OHRI01H/Speaking.jpg	(from https://www.orestisgeorgiou.com/)
19:44:04	345978/345978	---M--	200	added ('OK')	image/jpeg	etag:CLn06rfcjfsCEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/aee51137-92cb-4a94-9b86-4e27096ccf7c/b-243.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/aee51137-92cb-4a94-9b86-4e27096ccf7c/b-243.jpg	(from https://www.orestisgeorgiou.com/)
19:44:06	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2017%20Feb%202023%2014:14:05%20UTC	https://www.orestisgeorgiou.com/%22//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FP7pD1xNWJMU%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DP7pD1xNWJMU&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FP7pD1xNWJMU%2Fhqdefault.jpg&key=61d05c9d54e8455ea7a9677c366be814&type=text%2Fhtml&schema=youtube\%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_/cdn.embedly.com/widgets/media.1dbc18.delayed	(from https://www.orestisgeorgiou.com/)
19:44:06	58965/58965	---M-Z	200	added ('OK')	text/html	etag:W/%22075a6dc220e33be95757787af0f6269d%22	https://www.orestisgeorgiou.com/about	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/about.html	(from https://www.orestisgeorgiou.com/)
19:44:08	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2017%20Feb%202023%2014:14:07%20UTC	https://www.orestisgeorgiou.com/%22https://www.youtube.com/embed/9aLQgDJ-fIw?feature=oembed\%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_https_/www.youtube.com/embed/9aLQgDJ-fIw.1e6b6f.delayed	(from https://www.orestisgeorgiou.com/)
19:44:33	41721/41721	---MC-	404	error ('Not%20Found')	text/html	etag:W/%22ae6deae36295dd8e210c5265dfa43ebf%22	https://www.orestisgeorgiou.com/%22https://www.youtube.com/embed/9aLQgDJ-fIw?feature=oembed%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_https_/www.youtube.com/embed/9aLQgDJ-fIw.1f250f.delayed	(from https://www.orestisgeorgiou.com/)
19:44:36	57801/57801	---MCZ	200	added ('OK')	text/html	etag:W/%22e3cc6beff393754b2db5629a045e24fd--gzip%22	https://www.orestisgeorgiou.com/terms-of-use	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/terms-of-use.html	(from https://www.orestisgeorgiou.com/)
19:44:37	54330/54330	---M-Z	200	added ('OK')	text/html	etag:W/%229bc276e291be03d3270331cc6cfb4967%22	https://www.orestisgeorgiou.com/privacy-policy	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/privacy-policy.html	(from https://www.orestisgeorgiou.com/)
19:44:38	136447/136447	---M-Z	200	added ('OK')	application/javascript	etag:W/%2233717d3279e74c9fe5e9bb7a75b6c3fb--gzip%22	https://static1.squarespace.com/static/ta/55f0a9b0e4b0f3eb70352f6d/349/scripts/site-bundle.js	/home/aramaanmeher/websites/Aca/static1.squarespace.com/static/ta/55f0a9b0e4b0f3eb70352f6d/349/scripts/site-bundle.js	(from https://www.orestisgeorgiou.com/)
19:44:39	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Feb%202023%2014:14:38%20GMT	https://images.squarespace-cdn.com/robots.txt		(from https://www.orestisgeorgiou.com/)
19:44:40	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Feb%202023%2014:14:39%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.orestisgeorgiou.com/)
19:44:42	552677/552677	---M--	200	added ('OK')	image/jpeg	etag:CNSom7LejfsCEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/a958bb62-3c5c-447e-b41f-95f23dc4b96c/b-6.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/a958bb62-3c5c-447e-b41f-95f23dc4b96c/b-6.jpg	(from https://www.orestisgeorgiou.com/about)
19:44:44	57505/57505	---MCZ	200	added ('OK')	text/html	etag:W/%22be1d3bd8986b90f85f50ad0d07891b83--gzip%22	https://www.orestisgeorgiou.com/blog-feed/2019/4/4/my-creative-process	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/blog-feed/2019/4/4/my-creative-process.html	(from https://www.orestisgeorgiou.com/about)
19:44:45	581497/581497	---M--	200	added ('OK')	image/jpeg	etag:CPzep9HejfsCEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/39ce64c7-77b8-4081-9be9-20e16b765c65/b-220.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/39ce64c7-77b8-4081-9be9-20e16b765c65/b-220.jpg	(from https://www.orestisgeorgiou.com/about)
19:44:46	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2017%20Feb%202023%2014:14:45%20UTC	https://www.orestisgeorgiou.com/%22//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FMW98ylHfuts&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DMW98ylHfuts&image=http%3A%2F%2Fi.ytimg.com%2Fvi%2FMW98ylHfuts%2Fhqdefault.jpg&key=61d05c9d54e8455ea7a9677c366be814&type=text%2Fhtml&schema=youtube\%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_/cdn.embedly.com/widgets/media.261eef.delayed	(from https://www.orestisgeorgiou.com/speaking)
19:44:48	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2017%20Feb%202023%2014:14:48%20UTC	https://www.orestisgeorgiou.com/%22//www.youtube.com/embed/RTBrDvfcrL8?wmode=opaque&amp;enablejsapi=1\%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_/www.youtube.com/embed/RTBrDvfcrL8.279ae1.delayed	(from https://www.orestisgeorgiou.com/speaking)
19:44:50	41721/41721	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22ae6deae36295dd8e210c5265dfa43ebf%22	https://www.orestisgeorgiou.com/%22//www.youtube.com/embed/RTBrDvfcrL8?wmode=opaque&enablejsapi=1%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_/www.youtube.com/embed/RTBrDvfcrL8.288344.delayed	(from https://www.orestisgeorgiou.com/speaking)
19:44:52	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2017%20Feb%202023%2014:14:52%20UTC	https://www.orestisgeorgiou.com/%22//www.youtube.com/embed/unnisZ_yYbA?t=1&amp;wmode=opaque&amp;enablejsapi=1\%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_/www.youtube.com/embed/unnisZ_yYbA.2914f3.delayed	(from https://www.orestisgeorgiou.com/speaking)
19:44:55	41721/41721	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22ae6deae36295dd8e210c5265dfa43ebf%22	https://www.orestisgeorgiou.com/%22//www.youtube.com/embed/unnisZ_yYbA?t=1&wmode=opaque&enablejsapi=1%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_/www.youtube.com/embed/unnisZ_yYbA.2a4888.delayed	(from https://www.orestisgeorgiou.com/speaking)
19:44:58	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2017%20Feb%202023%2014:14:57%20UTC	https://www.orestisgeorgiou.com/%22//www.youtube.com/embed/AwWj3OyOWKU?wmode=opaque&amp;enablejsapi=1\%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_/www.youtube.com/embed/AwWj3OyOWKU.2b9ae1.delayed	(from https://www.orestisgeorgiou.com/speaking)
19:45:00	41721/41721	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22ae6deae36295dd8e210c5265dfa43ebf%22	https://www.orestisgeorgiou.com/%22//www.youtube.com/embed/AwWj3OyOWKU?wmode=opaque&enablejsapi=1%22	/home/aramaanmeher/websites/Aca/www.orestisgeorgiou.com/_/www.youtube.com/embed/AwWj3OyOWKU.2c8344.delayed	(from https://www.orestisgeorgiou.com/speaking)
19:45:01	598008/598008	---M--	200	added ('OK')	image/jpeg	etag:CJPc3eDfjfsCEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/2ec03930-2b89-4e9b-a4e4-b0441bdd5cec/b-126.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/2ec03930-2b89-4e9b-a4e4-b0441bdd5cec/b-126.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:02	204858/204858	---M--	200	added ('OK')	image/jpeg	etag:CNiujemxoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399859966-YS9FD45GSVLVHM80QGRS/IMG_0910.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399859966-YS9FD45GSVLVHM80QGRS/IMG_0910.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:02	307533/307533	---M--	200	added ('OK')	image/jpeg	etag:CIaIk8yyoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606400067573-R2F8NEVWRQLR0UDGQXDY/received_2151225985115345.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606400067573-R2F8NEVWRQLR0UDGQXDY/received_2151225985115345.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:04	520254/520254	---M--	200	added ('OK')	image/jpeg	etag:CPX+oZSyoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399949500-77IIUE2NCYGZH486ZVM6/IMG_20190619_142931.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399949500-77IIUE2NCYGZH486ZVM6/IMG_20190619_142931.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:05	922847/922847	---M--	200	added ('OK')	image/jpeg	etag:CI+d5eSxoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399849947-S3079UFQED3W1WV3JFII/IMG_0299.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399849947-S3079UFQED3W1WV3JFII/IMG_0299.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:06	736904/736904	---M--	200	added ('OK')	image/jpeg	etag:CMjkl+WxoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399849787-U7P707V0C3GJDZ8E8U7I/IMG_0744.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399849787-U7P707V0C3GJDZ8E8U7I/IMG_0744.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:07	236483/236483	---M--	200	added ('OK')	image/jpeg	etag:CMC7o+yxoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399866798-9BT3JPIFVLT800KHHGG7/IMG_0911.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399866798-9BT3JPIFVLT800KHHGG7/IMG_0911.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:08	597372/597372	---M--	200	added ('OK')	image/jpeg	etag:CKu6jPSxoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399881744-5C3WSXMPU7BZAVZLN7UZ/IMG_20170509_025559.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399881744-5C3WSXMPU7BZAVZLN7UZ/IMG_20170509_025559.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:09	471792/471792	---M--	200	added ('OK')	image/jpeg	etag:CLXCrvOxoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399880786-ZD8K68R73UXTMPE6TB4R/IMG_20170509_224125.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399880786-ZD8K68R73UXTMPE6TB4R/IMG_20170509_224125.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:11	474586/474586	---M--	200	added ('OK')	image/jpeg	etag:CMim74KyoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399913222-N8LNBKSQ04PEGV8KDT7W/IMG_20180924_215233.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399913222-N8LNBKSQ04PEGV8KDT7W/IMG_20180924_215233.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:11	629356/629356	---M--	200	added ('OK')	image/jpeg	etag:CN+KtZeyoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399956172-GPC0SI8HPOBP5BW7491D/IMG_20190619_155236.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399956172-GPC0SI8HPOBP5BW7491D/IMG_20190619_155236.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:13	926916/926916	---M--	200	added ('OK')	image/jpeg	etag:COiMzJqyoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399962759-7AD69MEE6U7SHPTPD2EU/IMG_20190711_211703.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399962759-7AD69MEE6U7SHPTPD2EU/IMG_20190711_211703.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:13	327055/327055	---M--	200	added ('OK')	image/jpeg	etag:CLGS3p+yoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399974497-HZKQHE6XBW9P1NJJJR5P/IMG-20180908-WA0002.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399974497-HZKQHE6XBW9P1NJJJR5P/IMG-20180908-WA0002.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:15	264879/264879	---M--	200	added ('OK')	image/jpeg	etag:CKCT36CyoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399976699-HUJXDI4UTRQABUEIYPGA/IMG-20180908-WA0004.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399976699-HUJXDI4UTRQABUEIYPGA/IMG-20180908-WA0004.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:16	252187/252187	---M--	200	added ('OK')	image/jpeg	etag:CKuZwKSyoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399982642-IZK5T6C6FJT2YKAUXQZ9/IMG-20180908-WA0005.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399982642-IZK5T6C6FJT2YKAUXQZ9/IMG-20180908-WA0005.jpg	(from https://www.orestisgeorgiou.com/speaking)
19:45:17	190311/190311	---M--	200	added ('OK')	image/jpeg	etag:CIeT76SyoO0CEAE=	https://images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399985068-L4ML8666HER0T9IO588U/IMG-20180908-WA0006.jpg	/home/aramaanmeher/websites/Aca/images.squarespace-cdn.com/content/v1/5c6fd1c7c2ff616d47ed3809/1606399985068-L4ML8666HER0T9IO588U/IMG-20180908-WA0006.jpg	(from https://www.orestisgeorgiou.com/speaking)
